product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound
BBQ - Test 14,1,The smoky taste is overwhelming; after taste is displeasing; flavors profile is confusing at times; does not sit well with my aesthetic when it comes to nut bars and flavor,1,"I'm a fan of Nature Valley but I'm not at all pleased by this bar. As stated before, smoke flavor is too much. I would like to have more of the sweet and honey flavor that Nature Valley does well.",I don't think you can make this Smoky BBQ flavored bar better in my opinion; I would more than likely not eat a nut bar flavored like BBQ - possibly lessen the smokey flavor and increase the sweet additive - maybe a slight bit of honey,"['smoky', 'taste', 'overwhelm', 'taste', 'displease', 'flavor', 'profile', 'confuse', 'time', 'sit', 'well', 'aesthetic', 'come', 'nut', 'bar', 'flavor']","['im', 'fan', 'nature', 'valley', 'im', 'please', 'bar', 'state', 'smoke', 'flavor', 'much', 'would', 'like', 'sweet', 'honey', 'flavor', 'nature', 'valley', 'well']","['dont', 'think', 'make', 'smoky', 'bbq', 'flavor', 'bar', 'better', 'opinion', 'would', 'likely', 'eat', 'nut', 'bar', 'flavor', 'like', 'bbq', 'possibly', 'lessen', 'smokey', 'flavor', 'increase', 'sweet', 'additive', 'maybe', 'slight', 'bit', 'honey']",-0.4047,0.8332,0.8658
BBQ - Control (Texas BBQ),6,I guess since it is subtle between sweet and savory,2,I was underwhelmed with the flavor.  I think their other bars are much better,"It has an aftertaste - it needs a bit more spice or go in the other direction with sweetness, like maple.  Add tomato and salt flavors and maybe pepper","['guess', 'since', 'subtle', 'sweet', 'savory']","['underwhelmed', 'flavor', 'think', 'bar', 'much', 'well']","['aftertaste', 'need', 'bit', 'spice', 'go', 'direction', 'sweetness', 'like', 'maple', 'add', 'tomato', 'salt', 'flavor', 'maybe', 'pepper']",0.4588,0.4404,0.6908
BBQ - Test 13,6,It's a nice tangy sweet mix,3,"I was not sure what the mix was going to be but the second time I tried it, it was better.","probably add a bit of tomato, saltiness and pepper to it","['nice', 'tangy', 'sweet', 'mix']","['sure', 'mix', 'go', 'second', 'time', 'try', 'good']","['probably', 'add', 'bit', 'tomato', 'saltiness', 'pepper']",0.7003,0.5218,0
BBQ - Test 14,4,Interesting taste at first in terms of the spiciness,2,It looked appetizing but needs a better taste combination - maybe introduce a tomato flavor more or go sweeter,"It has an aftertaste, so maybe increase the sweet ingredients","['interest', 'taste', 'first', 'term', 'spiciness']","['look', 'appetizing', 'need', 'well', 'taste', 'combination', 'maybe', 'introduce', 'tomato', 'flavor', 'go', 'sweeter']","['aftertaste', 'maybe', 'increase', 'sweet', 'ingredient']",0.4019,0.5927,0.6786
BBQ - Control (Texas BBQ),9,"I like the smell of the product, the appearance looks very  natural  and the texture and flavor are very nice",5,"nice size, and not too crunchy and no weird aftertaste",more flavor,"['like', 'smell', 'product', 'appearance', 'look', 'natural', 'texture', 'flavor', 'nice']","['nice', 'size', 'crunchy', 'weird', 'aftertaste']",['flavor'],0.8119,-0.0258,0
BBQ - Test 13,9,"I like the smell of the product, the appearance looks very  natural  and the texture and flavor are very nice",5,"it is a very nice sensory snack. good flavor, smell, texture, appearance",more flavor,"['like', 'smell', 'product', 'appearance', 'look', 'natural', 'texture', 'flavor', 'nice']","['nice', 'sensory', 'snack', 'good', 'flavor', 'smell', 'texture', 'appearance']",['flavor'],0.8119,0.7178,0
BBQ - Test 14,9,"I like the smell of the product, the appearance looks very  natural  and the texture and flavor are very nice",5,Its not a difficult bar to bite into - its crunchy but its not a rock hard bar.,maybe increase the flavor a little bit,"['like', 'smell', 'product', 'appearance', 'look', 'natural', 'texture', 'flavor', 'nice']","['difficult', 'bar', 'bite', 'crunchy', 'rock', 'hard', 'bar']","['maybe', 'increase', 'flavor', 'little', 'bit']",0.8119,0.2498,0.3182
BBQ - Control (Texas BBQ),3,"The crunch, texture and size. I like the ingredients in it other then the BBQ",2,maybe i dont really know what my expecations were since a BBQ granola bar is as whole new concept to me. but in the end I think of my granola bars being sweet and a breakfast item rather than tangy and spicey,"I weoudl take out the BBQ, jsut stick with the honey, cinnamon type of flavors","['crunch', 'texture', 'size', 'like', 'ingredient', 'bbq']","['maybe', 'dont', 'really', 'know', 'expecations', 'since', 'bbq', 'granola', 'bar', 'whole', 'new', 'concept', 'end', 'think', 'granola', 'bar', 'sweet', 'breakfast', 'item', 'rather', 'tangy', 'spicey']","['weoudl', 'take', 'bbq', 'jsut', 'stick', 'honey', 'cinnamon', 'type', 'flavor']",0.3612,0.6124,0
BBQ - Test 13,3,I like the crunch. I like the granola and nuts in it as well as the size of the product.,2,"I just think of sweet when i have a granola or poteien, energy or breakfast bar. So i as going in for something sweet and it was realy just too spcky for my liking in the bar form, it would be better as a snack mix",I really just dont like the BBQ flavor to be honest. It just seemed and odd combination  personally,"['like', 'crunch', 'like', 'granola', 'nut', 'well', 'size', 'product']","['think', 'sweet', 'granola', 'poteien', 'energy', 'breakfast', 'bar', 'go', 'something', 'sweet', 'realy', 'spcky', 'like', 'bar', 'form', 'would', 'better', 'snack', 'mix']","['really', 'dont', 'like', 'bbq', 'flavor', 'honest', 'seem', 'odd', 'combination', 'personally']",0.5859,0.9136,-0.096
BBQ - Test 14,4,The crunch is really good an the more you eat it the more you get used to it. It has a nice balance of sweet and savory and feels like it should be healthy,2,i just thought it would be a more mild bbq. I also expect granola bars to be sweet so it was taken off guard,it jsut personally dont like the BBQ it was too tangy and made and at all breakfasty which is when i like to eat my granola bars,"['crunch', 'really', 'good', 'eat', 'get', 'use', 'nice', 'balance', 'sweet', 'savory', 'feel', 'like', 'healthy']","['thought', 'would', 'mild', 'bbq', 'also', 'expect', 'granola', 'bar', 'sweet', 'take', 'guard']","['jsut', 'personally', 'dont', 'like', 'bbq', 'tangy', 'make', 'breakfasty', 'like', 'eat', 'granola', 'bar']",0.9216,0.4588,-0.4973
BBQ - Control (Texas BBQ),9,"I really like the flavor and crunch, number 2/3 for me",5,"I had no clue what to expect, but this was really good!",I think a little less crunch would be good,"['really', 'like', 'flavor', 'crunch', 'number', '23']","['clue', 'expect', 'really', 'good']","['think', 'little', 'less', 'crunch', 'would', 'good']",0.4754,0.61,0.4404
BBQ - Test 13,8,"I like the crunch on this one and the flavor is very good, this is 3/3 for me",5,"I had no idea what to expect, but these are great!",I think there needs to be a bit more BBQ flavor on this one.,"['like', 'crunch', 'one', 'flavor', 'good', '33']","['idea', 'expect', 'great']","['think', 'need', 'bit', 'bbq', 'flavor', 'one']",0.6901,0.7463,0
BBQ - Test 14,9,"I love the flavor and the texture, it's not too strong, but taste great, my favorite of the 3",5,"I was not sure what to expect, but I can see having a box of these in my office as a snack.",I would change nothing!,"['love', 'flavor', 'texture', 'strong', 'taste', 'great', 'favorite', '3']","['sure', 'expect', 'see', 'box', 'office', 'snack']","['would', 'change', 'nothing']",0.9081,-0.1232,0
BBQ - Control (Texas BBQ),6,The BBQ flavor is there but is not too overpowering and you taste it more so as you eat it as opposed to it instantly hitting your tongue as soon as you bite it.,3,When I think of BBQ flavor this bar is the taste that I would expect with the exception of the it being a little too salty.,Not make is as salty.,"['bbq', 'flavor', 'overpower', 'taste', 'eat', 'oppose', 'instantly', 'hit', 'tongue', 'soon', 'bite']","['think', 'bbq', 'flavor', 'bar', 'taste', 'would', 'expect', 'exception', 'little', 'salty']","['make', 'salty']",0,0,0
BBQ - Test 13,3,It has a crunch but also some softness from the peanuts. The BBQ flavor is a little more mild.,2,The BBQ flavor is very strong and it leaves a salty flavor in my mouth.,I would not make it as salty.,"['crunch', 'also', 'softness', 'peanut', 'bbq', 'flavor', 'little', 'mild']","['bbq', 'flavor', 'strong', 'leave', 'salty', 'flavor', 'mouth']","['would', 'make', 'salty']",0,0.5563,0
BBQ - Test 14,3,"I like that it's small for on the go purposes, usually I am up for work around 5am and I like to grab granola bars on my way out the door to eat on my way to work. I also like the crunchy texture of the bar.",2,I do love BBQ flavors but this is not something that I would eat super early in the morning on my way to work as BBQ is not a flavor I crave for breakfast.,The BBQ flavor is very over powering and strong that it made me thirsty almost instantly.,"['like', 'small', 'go', 'purpose', 'usually', 'work', 'around', '5am', 'like', 'grab', 'granola', 'bar', 'way', 'door', 'eat', 'way', 'work', 'also', 'like', 'crunchy', 'texture', 'bar']","['love', 'bbq', 'flavor', 'something', 'would', 'eat', 'super', 'early', 'morning', 'way', 'work', 'bbq', 'flavor', 'crave', 'breakfast']","['bbq', 'flavor', 'power', 'strong', 'make', 'thirsty', 'almost', 'instantly']",0.7579,0.8381,0.5106
BBQ - Control (Texas BBQ),4,The presentation,3,BBQ tastes good but not on or in everything,make the size slightly bigger,['presentation'],"['bbq', 'taste', 'good', 'everything']","['make', 'size', 'slightly', 'big']",0,0.2382,0
BBQ - Test 13,5,Just the appearance,2,it did not make my tastes buds tingle,I would add honey,['appearance'],"['make', 'taste', 'bud', 'tingle']","['would', 'add', 'honey']",0,0,0
BBQ - Test 14,6,The salty taste,3,smokey BBQ speaks for itself,adding honey,"['salty', 'taste']","['smokey', 'bbq', 'speaks']","['add', 'honey']",0,0,0
BBQ - Control (Texas BBQ),5,The bar tastes like many of the other Nature Valley bars I have had.  The taste has the consistency I like without having the awful aftertaste I sometimes get.,3,For a BBQ flavored product I find the consistency of the BBQ throughout to be perfect.,I would increase the secondary flavors to give it a deeper taste.,"['bar', 'taste', 'like', 'many', 'nature', 'valley', 'bar', 'taste', 'consistency', 'like', 'without', 'awful', 'aftertaste', 'sometimes', 'get']","['bbq', 'flavor', 'product', 'find', 'consistency', 'bbq', 'throughout', 'perfect']","['would', 'increase', 'secondary', 'flavor', 'give', 'deep', 'taste']",0.7565,0.5719,0.3182
BBQ - Test 13,5,It has a consistent taste throughout that was not over the top.,3,The flavor was consistent and I like consistency vs over the top flavors,I think its needs more nuts,"['consistent', 'taste', 'throughout', 'top']","['flavor', 'consistent', 'like', 'consistency', 'v', 'top', 'flavor']","['think', 'it\x92s', 'need', 'nut']",-0.1511,0.5106,-0.3804
BBQ - Test 14,2,The tastes are not something I am looking for in a bar.,1,I do not want to have BBQ flavoring in a nature valley bar and this product confirms it.,I do not think anything can change it so I will like it.,"['taste', 'something', 'look', 'bar']","['want', 'bbq', 'flavor', 'nature', 'valley', 'bar', 'product', 'confirms']","['think', 'anything', 'change', 'like']",0,-0.0572,0.4173
BBQ - Control (Texas BBQ),5,It has a certain spice flavor like a chipotle flavor. Not much BBQ but I somewhat enjoy it. If the BBQ flavor was increased and was a bit more compact it would be good.,3,It was not my top 2 choices but once retried. The flavor was not terrible. I did not hold high expectations due to texture and appearance.,Increase the BBQ flavor and adjust the appearance.,"['certain', 'spice', 'flavor', 'like', 'chipotle', 'flavor', 'much', 'bbq', 'somewhat', 'enjoy', 'bbq', 'flavor', 'increase', 'bit', 'compact', 'would', 'good']","['top', '2', 'choice', 'retry', 'flavor', 'terrible', 'hold', 'high', 'expectation', 'due', 'texture', 'appearance']","['increase', 'bbq', 'flavor', 'adjust', 'appearance']",0.9129,0.4651,0.3182
BBQ - Test 13,4,I like the crunch more than the rest. Not sure what is different but it is a bit harder. It being compacted more possibly increases the crunch.,4,The appearance is better and the crunch is nice. Seems to be maybe more compacted. It was close to perfect minus additional flavor.,The taste should have more BBQ flavor. The appearance and crunch are great. Just not as satisfying in BBQ flavor.,"['like', 'crunch', 'rest', 'sure', 'different', 'bit', 'hard', 'compact', 'possibly', 'increase', 'crunch']","['appearance', 'well', 'crunch', 'nice', 'seem', 'maybe', 'compact', 'close', 'perfect', 'minus', 'additional', 'flavor']","['taste', 'bbq', 'flavor', 'appearance', 'crunch', 'great', 'satisfy', 'bbq', 'flavor']",0.0693,0.8555,0.3859
BBQ - Test 14,7,"I feel with product 802 you can taste what is advertised. The BBQ flavor, richness, and crunch, are well-balanced but not overpowering. It is my first pick versus the other two product choices.",5,"As stated earlier, it is what I would expect it to taste like. The BBQ flavor is there and crunches from the nuts. The sweetness and salt combination.",If the appearance can be a bit more appealing. Unsure how the process is to do so. But it is not the most appealing. Until you try the product then I know I enjoy it.,"['feel', 'product', '802', 'taste', 'advertise', 'bbq', 'flavor', 'richness', 'crunch', 'wellbalanced', 'overpower', 'first', 'pick', 'versus', 'two', 'product', 'choice']","['state', 'earlier', 'would', 'expect', 'taste', 'like', 'bbq', 'flavor', 'crunch', 'nuts', 'sweetness', 'salt', 'combination']","['appearance', 'bit', 'appealing', 'unsure', 'process', 'appeal', 'try', 'product', 'know', 'enjoy']",0.2732,0.5267,0.5663
BBQ - Control (Texas BBQ),1,this item has a unique taste and is very chalky.,2,Just not the taste for me,definitely add some sugar to it,"['item', 'unique', 'taste', 'chalky']",['taste'],"['definitely', 'add', 'sugar']",0,0,0.4019
BBQ - Test 13,2,nothing its very chalky,2,this product is just not something i would purchase. its very dry and chalky,i would like to add some sweet to it,"['nothing', 'chalky']","['product', 'something', 'would', 'purchase', 'dry', 'chalky']","['would', 'like', 'add', 'sweet']",0,0,0.6705
BBQ - Test 14,2,the taste is kind of funny. it is a strong taste,3,"after tasting the product again, it does have a savory taste inn which i would no buy for this type of product",possibly add a sweeter taste to it,"['taste', 'kind', 'funny', 'strong', 'taste']","['taste', 'product', 'savory', 'taste', 'inn', 'would', 'buy', 'type', 'product']","['possibly', 'add', 'sweet', 'taste']",0.7102,-0.296,0
BBQ - Control (Texas BBQ),6,"little heat in the aftertaste, crunchy, not too hard",3,it was tasty and crunchy like a typical nature valley bar.  flavors were good and had nice texture,more smoke flavor...maybe a little heat,"['little', 'heat', 'aftertaste', 'crunchy', 'hard']","['tasty', 'crunchy', 'like', 'typical', 'nature', 'valley', 'bar', 'flavor', 'good', 'nice', 'texture']","['smoke', 'flavormaybe', 'little', 'heat']",0.0762,0.802,0
BBQ - Test 13,4,"smoky flavor, crunchy, feels like a healthy snack",2,"the flavor wasn't well developed and didn't overwhelm me, seemed like the flavor faded quickly","tasted a little  greasy , also the flavor seemed to fade almost immediately...not smoky aftertaste and no heat","['smoky', 'flavor', 'crunchy', 'feel', 'like', 'healthy', 'snack']","['flavor', 'wasnt', 'well', 'developed', 'didnt', 'overwhelm', 'seem', 'like', 'flavor', 'fade', 'quickly']","['taste', 'little', 'greasy', 'also', 'flavor', 'seem', 'fade', 'almost', 'immediatelynot', 'smoky', 'aftertaste', 'heat']",0.6369,0.2969,-0.296
BBQ - Test 14,8,has a smoky aftertaste with a little heat.  lots of peanuts.,4,"it tasted pretty good, the flavors were well developed.  typically, I enjoy nature valley so I expected to enjoy this.","on one side, you can see nuts, etc.  But if you flip it over, it looks like it's just flattened.  Also, breaks very easily.","['smoky', 'aftertaste', 'little', 'heat', 'lot', 'peanut']","['taste', 'pretty', 'good', 'flavor', 'well', 'develop', 'typically', 'enjoy', 'nature', 'valley', 'expect', 'enjoy']","['one', 'side', 'see', 'nuts', 'etc', 'flip', 'look', 'like', 'flatten', 'also', 'break', 'easily']",0,0.9274,0.7302
BBQ - Control (Texas BBQ),2,"Nothing.  I dont like the taste at all.  Its not tasty at all.  I dont taste bbq, but something like Smokey.  Its not appetizing at all.",3,"It didnt sound good, and it didnt taste good at all.","Everything.  I dont like the taste.  The texture isnt bad, but I cant get over the taste.","['nothing', 'don\x92t', 'like', 'taste', 'it\x92s', 'tasty', 'don\x92t', 'taste', 'bbq', 'something', 'like', 'smokey', 'it\x92s', 'appetizing']","['didn\x92t', 'sound', 'good', 'didn\x92t', 'taste', 'good']","['everything', 'don\x92t', 'like', 'taste', 'texture', 'isn\x92t', 'bad', 'can\x92t', 'get', 'taste']",-0.4973,0.7003,-0.128
BBQ - Test 13,2,I dont like the taste at all.  There not much taste to it but something Smokey.  Not liking that.  Theres not an overwhelming bbq taste.,3,I didnt think it was going to taste very good and it didnt.,Everything.  I dont like the taste at all.  The appearance isnt too bad.  Its just not very tasty.,"['don\x92t', 'like', 'taste', 'much', 'taste', 'something', 'smokey', 'like', 'there\x92s', 'overwhelm', 'bbq', 'taste']","['didn\x92t', 'think', 'go', 'taste', 'good', 'didn\x92t']","['everything', 'don\x92t', 'like', 'taste', 'appearance', 'isn\x92t', 'bad', 'it\x92s', 'tasty']",-0.2817,0.4927,-0.25
BBQ - Test 14,2,I dont like the Smokey taste of the product.  In my mind I was thinking I was going to eat a granola bar so I was expecting sweet but thats not what I got.  The taste is not good at all.,2,"I guess if you like bbq it might not be bad, but I dont like the taste at all.  I expected something that tasted different.  Not sure what, but not this",Everything.  I dont like the taste or the appearance.  Yucky,"['don\x92t', 'like', 'smokey', 'taste', 'product', 'mind', 'think', 'go', 'eat', 'granola', 'bar', 'expect', 'sweet', 'that\x92s', 'get', 'taste', 'good']","['guess', 'like', 'bbq', 'might', 'bad', 'don\x92t', 'like', 'taste', 'expect', 'something', 'taste', 'different', 'sure']","['everything', 'don\x92t', 'like', 'taste', 'appearance', 'yucky']",-0.0585,0.5396,-0.0772
BBQ - Control (Texas BBQ),4,Nothing,2,I thought it would taste like the other bars but the flavor was off,"The taste, the texture",['nothing'],"['thought', 'would', 'taste', 'like', 'bar', 'flavor']","['taste', 'texture']",0,0.1901,0
BBQ - Test 13,6,The flavor,3,I expected it to be crunchy and savory and it was,I would make it less crunchy,['flavor'],"['expect', 'crunchy', 'savory']","['would', 'make', 'less', 'crunchy']",0,0,0
BBQ - Test 14,5,The flavor,3,The title explains the bar really well it is savory and crunchy.,A little less crunchy,['flavor'],"['title', 'explain', 'bar', 'really', 'well', 'savory', 'crunchy']","['little', 'less', 'crunchy']",0,0.3384,0
BBQ - Control (Texas BBQ),8,I like the texture and the flavor of the bar.,3,The flavor is what I would expect from a bbq flavored bar.,"The first bite is a little strong, if that was a little milder I think it would be better.","['like', 'texture', 'flavor', 'bar']","['flavor', 'would', 'expect', 'bbq', 'flavored', 'bar']","['first', 'bite', 'little', 'strong', 'little', 'milder', 'think', 'would', 'better']",0.3612,0,0.7102
BBQ - Test 13,7,I like the texture and the flavor is a good balance of savory and sweet,4,"The bbq flavor is there, but its not overbearing so it still feels like a healthy snack and not chips","I think the after taste is a little strong, maybe make that a little milder","['like', 'texture', 'flavor', 'good', 'balance', 'savory', 'sweet']","['bbq', 'flavor', 'it\x92s', 'overbear', 'still', 'feel', 'like', 'healthy', 'snack', 'chip']","['think', 'taste', 'little', 'strong', 'maybe', 'make', 'little', 'milder']",0.8126,0.7783,0.4601
BBQ - Test 14,4,I like the crunchiness of the product,4,"I didnt expect the product to be good at all, but it was surprisingly tasty",The taste is a little to strong for me,"['like', 'crunchiness', 'product']","['didn\x92t', 'expect', 'product', 'good', 'surprisingly', 'tasty']","['taste', 'little', 'strong']",0.3612,0.5789,0.4627
BBQ - Control (Texas BBQ),8,I like how well so much crunchy ness is packed into such a small bar,4,I thought it would be hard and plain with slight bbq flavor and I was wrong,I would maybe add cashews,"['like', 'well', 'much', 'crunchy', 'ness', 'pack', 'small', 'bar']","['think', 'would', 'hard', 'plain', 'slight', 'bbq', 'flavor', 'wrong']","['would', 'maybe', 'add', 'cashew']",0.5574,-0.5423,0
BBQ - Test 13,9,Is taste good and have a pleasant crunch to each bite.,4,Good size and color. The other reason is because it has good flavor,Add cashews,"['taste', 'good', 'pleasant', 'crunch', 'bite']","['good', 'size', 'color', 'reason', 'good', 'flavor']","['add', 'cashew']",0.7351,0.7003,0
BBQ - Test 14,8,The flavor of the smoky bbq is delicious. The texture is nice and crunchy,5,I thought it would be plain. But is turned out to be amazing,Nothing,"['flavor', 'smoky', 'bbq', 'delicious', 'texture', 'nice', 'crunchy']","['thought', 'would', 'plain', 'turned', 'amazing']",['nothing'],0.7579,0.7351,0
BBQ - Control (Texas BBQ),8,I like the bbq  flavor.,4,The bar tastes good.,I would add more nuts.,"['like', 'bbq', 'flavor']","['bar', 'taste', 'good']","['would', 'add', 'nut']",0.3612,0.4404,-0.3804
BBQ - Test 13,9,I like that the bar I'd crunchy.,5,The bar is crunchy.,I wouldn't change nothing.,"['like', 'bar', 'id', 'crunchy']","['bar', 'crunchy']","['wouldnt', 'change', 'nothing']",0.3612,0,0
BBQ - Test 14,8,I like that the bar is crunchy.,4,The bar is tasty and crunchy.,I would put less salt.,"['like', 'bar', 'crunchy']","['bar', 'tasty', 'crunchy']","['would', 'put', 'less', 'salt']",0.3612,0,0
BBQ - Control (Texas BBQ),8,It has the right amount of BBQ and spiciness and the right amount of tang.,4,It has the right amount of BBQ and spice I did not expect.,Less crunchy.,"['right', 'amount', 'bbq', 'spiciness', 'right', 'amount', 'tang']","['right', 'amount', 'bbq', 'spice', 'expect']","['less', 'crunchy']",0,0,0
BBQ - Test 13,7,I like the mild BBQ and spicy flavor and it has some tang.,3,It had the amount of spice and BBQ as expected.,A bit more BBQ and spice and more tang. Less crunchy.,"['like', 'mild', 'bbq', 'spicy', 'flavor', 'tang']","['amount', 'spice', 'bbq', 'expect']","['bit', 'bbq', 'spice', 'tang', 'less', 'crunchy']",0.3612,0,0
BBQ - Test 14,7,I like the BBQ and mild spice and also the slight tang.,3,I thought it would be mild as far as spice and BBQ go.,"Make it more BBQ and more spicy, less crunchy.","['like', 'bbq', 'mild', 'spice', 'also', 'slight', 'tang']","['thought', 'would', 'mild', 'far', 'spice', 'bbq', 'go']","['make', 'bbq', 'spicy', 'less', 'crunchy']",0.3612,0,0
BBQ - Control (Texas BBQ),6,I like that the peanut flavor is mixed with the BBQ flavor. And the BBQ flavor is not too overwhelming.,3,This is what I expect the bar to taste like.,The BBQ taste is a little more tangy than sweet.,"['like', 'peanut', 'flavor', 'mixed', 'bbq', 'flavor', 'bbq', 'flavor', 'overwhelm']","['expect', 'bar', 'taste', 'like']","['bbq', 'taste', 'little', 'tangy', 'sweet']",0.3612,0.3612,0.5046
BBQ - Test 13,4,The flavor of the BBQ is pretty strong. I'm not liking it as much as I thought I would.,2,I thought it would be more of a mix of flavors. It is pretty much all BBQ flavor.,Lessen the amount of the BBQ flavor,"['flavor', 'bbq', 'pretty', 'strong', 'im', 'like', 'much', 'thought', 'would']","['think', 'would', 'mix', 'flavor', 'pretty', 'much', 'bbq', 'flavor']","['lessen', 'amount', 'bbq', 'flavor']",0.6419,0.4939,0
BBQ - Test 14,6,I like the chunks of peanuts in the bar and the tangy bbq flavor.,3,The flavor of the peanuts mixes with granola was what I expected. Also knowing it was BBQ flavored I expected that taste.,It does seem to break apart very easily.,"['like', 'chunk', 'peanut', 'bar', 'tangy', 'bbq', 'flavor']","['flavor', 'peanut', 'mix', 'granola', 'expect', 'also', 'know', 'bbq', 'flavor', 'expect', 'taste']","['seem', 'break', 'apart', 'easily']",0.3612,0,0.4005
BBQ - Control (Texas BBQ),7,good bbq taste,3,I like it,I like it,"['good', 'bbq', 'taste']",['like'],['like'],0.4404,0.3612,0.3612
BBQ - Test 13,4,too smoky,2,I am not a fan of the taste or the after taste,less bbq smoky taste,['smoky'],"['fan', 'taste', 'taste']","['less', 'bbq', 'smoky', 'taste']",0,-0.2411,0
BBQ - Test 14,5,crunchy,3,I was a fan of the smoky bbq flavor,too smoky,['crunchy'],"['fan', 'smoky', 'bbq', 'flavor']",['smoky'],0,0.3182,0
BBQ - Control (Texas BBQ),9,The flavor is like nothing I've ever tasted before,5,The nature Valley product just seems to keep getting better than ever. The balance is perfect,Nothing at all,"['flavor', 'like', 'nothing', 'ive', 'ever', 'taste']","['nature', 'valley', 'product', 'seem', 'keep', 'get', 'good', 'ever', 'balance', 'perfect']",['nothing'],0.3612,0.765,0
BBQ - Test 13,9,The balance of flavors,5,I've tried others and this flavor profile is very unique,Nothing. Like it just as is,"['balance', 'flavor']","['ive', 'try', 'others', 'flavor', 'profile', 'unique']","['nothing', 'like']",0,0,-0.2755
BBQ - Test 14,8,It's surprisingly burst of flavors,5,I like all of the nature Valley product. This one is very different than any other product like this,Nothing. I would definitely buy this product,"['surprisingly', 'burst', 'flavor']","['like', 'nature', 'valley', 'product', 'one', 'different', 'product', 'like']","['nothing', 'would', 'definitely', 'buy', 'product']",0.296,0.6124,-0.3089
BBQ - Control (Texas BBQ),7,"I like the BBQ flavor with the peanuts, and the texture",3,This is my third sample of the same flavor so I know what to expect.,It still has too much aftertaste and I don't have any craving to continue eating it.,"['like', 'bbq', 'flavor', 'peanut', 'texture']","['third', 'sample', 'flavor', 'know', 'expect']","['still', 'much', 'aftertaste', 'dont', 'crave', 'continue', 'eat']",0.3612,0,0
BBQ - Test 13,7,I like the BBQ flavor combined with peanuts.,3,Second sample so I had a better idea of how this would taste,"I think it's giving too much of an aftertaste, not making me want to eat any more of it because the flavor is a little too much.","['like', 'bbq', 'flavor', 'combine', 'peanut']","['second', 'sample', 'well', 'idea', 'would', 'taste']","['think', 'give', 'much', 'aftertaste', 'make', 'want', 'eat', 'flavor', 'little', 'much']",0.3612,0.4902,0.291
BBQ - Test 14,8,"I love the BBQ flavor with peanuts, also really like how you can taste the smoky flavor and a little bit of sweetness but not too much.",4,"I wasn't sure how BBQ bar would taste, I normally associate these types of products with breakfast",Maybe less peanuts,"['love', 'bbq', 'flavor', 'peanut', 'also', 'really', 'like', 'taste', 'smoky', 'flavor', 'little', 'bit', 'sweetness', 'much']","['wasnt', 'sure', 'bbq', 'bar', 'would', 'taste', 'normally', 'associate', 'type', 'product', 'breakfast']","['maybe', 'less', 'peanut']",0.6667,-0.2411,0
BBQ - Control (Texas BBQ),7,strong flavor,4,tastes better than it looks,nothing maybe bigger,"['strong', 'flavor']","['taste', 'well', 'look']","['nothing', 'maybe', 'big']",0.5106,0.4404,0
BBQ - Test 13,7,the savory flavor,4,dont normally like bbq but this is good,make bigger,"['savory', 'flavor']","['dont', 'normally', 'like', 'bbq', 'good']","['make', 'big']",0,0.5098,0
BBQ - Test 14,8,i like the smokey flavor and its crunchy,4,it had more flavor than i expected,bigger,"['like', 'smokey', 'flavor', 'crunchy']","['flavor', 'expect']",['big'],0.3612,0,0
BBQ - Control (Texas BBQ),8,I like the flavor of this product.  It's smoky bbq but not too strong and has a hint of sweetness to it.,4,I thought it would have a weird bbq flavor to it but it does not.,"Have pieces of the peanuts visable, the only seeds/nuts I could see while looking at it were sunflower seeds.","['like', 'flavor', 'product', 'smoky', 'bbq', 'strong', 'hint', 'sweetness']","['thought', 'would', 'weird', 'bbq', 'flavor']","['piece', 'peanut', 'visable', 'seedsnuts', 'could', 'see', 'look', 'sunflower', 'seed']",0.3605,-0.09,0
BBQ - Test 13,8,A hint of sweet.  I like the crunch mixed with the seed and nut flavor.,4,I was expecting an overbearing bbq flavor.  This one is subtle.,Make it not quite so crumbly.  This one made a big mess each bite I took.,"['hint', 'sweet', 'like', 'crunch', 'mixed', 'seed', 'nut', 'flavor']","['expect', 'overbear', 'bbq', 'flavor', 'one', 'subtle']","['make', 'quite', 'crumbly', 'one', 'make', 'big', 'mess', 'bite', 'take']",0.6705,0,-0.3612
BBQ - Test 14,9,"That you can see the seeds/nuts.  The crunch is great, not too hard to bite through.  You can taste a hint of the bbq flavor, it is not overpowering.",3,Its just as I imagined a bar of this name would taste.,Nothing to change in my opinion.,"['see', 'seedsnuts', 'crunch', 'great', 'hard', 'bite', 'taste', 'hint', 'bbq', 'flavor', 'overpower']","['imagined', 'bar', 'name', 'would', 'taste']","['nothing', 'change', 'opinion']",0.6593,0,0
