product_code,like_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,question
Chobani Smooth,0.1655,"['im', 'sure', 'everyone', 'know', 'chobani', 'greek', 'yogurt', 'maybe', 'somehow', 'change', 'name', 'also', 'mention', 'greek', 'yogurt', 'flavor']",Product Improvement
Chobani Smooth,0.3832,"['look', 'little', 'funny', 'first', 'open', 'also', 'little', 'pricey']",Product Improvement
Chobani Smooth,0.4019,"['texture', 'kind', 'griddy', 'wish', 'would', 'smooth']",Product Improvement
Chobani Smooth,-0.5408,"['well', 'flavor', 'strong', 'strawberry', 'flavor', 'strawberry', 'chunk', 'dont', 'like', 'smell', 'aftertaste', 'bitter', 'sweet']",Product Improvement
Chobani Smooth,0,['name'],Product Improvement
Chobani Smooth,0,['nan'],Product Improvement
Chobani Smooth,0,"['would', 'add', 'fruit']",Product Improvement
Chobani Smooth,0,"['fill', 'cup', 'fullercup', 'little', '34', 'full']",Product Improvement
Chobani Smooth,-0.1729,"['thick', 'almost', 'gluelike', 'sweet', 'enough', 'snack', 'crave', 'fine', 'nutritional', 'breakfast', 'quick', 'meal', 'look', 'bland']",Product Improvement
Chobani Smooth,0.4926,"['need', 'fruit', 'add', '2', 'strawberry', 'able', 'taste', 'strawberry', 'flavor', 'also', 'container', '12', 'full', 'suggest', 'use', 'small', 'container', 'fill', 'exist', 'container', 'think', 'small', 'container', 'well', 'idea']",Product Improvement
Chobani Smooth,-0.2411,"['tart', 'wasnt', 'sure', 'could', 'take', 'aftertaste']",Product Improvement
Chobani Smooth,0,['creamyness'],Product Improvement
Chobani Smooth,0,['aftertaste'],Product Improvement
Chobani Smooth,0,"['would', 'add', 'big', 'piece', 'strawberry']",Product Improvement
Chobani Smooth,0,"['add', 'strawberry']",Product Improvement
Chobani Smooth,0.6597,"['would', 'like', 'thicker', 'piece', 'fruit', 'consistency', 'seem', 'thin', 'large', 'selection', 'flavor', 'choose', 'would', 'also', 'good']",Product Improvement
Chobani Smooth,-0.6705,"['could', 'use', 'little', 'real', 'fruit', 'enhance', 'flavor', 'color', 'pale', 'please', 'eye', 'seem', 'little', 'bitter', 'taste']",Product Improvement
Chobani Smooth,0,"['make', 'thicker']",Product Improvement
Chobani Smooth,0,"['strawberry', 'flavor', 'add', 'fruit', 'chunk']",Product Improvement
Chobani Smooth,0,"['strawberry', 'chunk', 'strawberry', 'flavor']",Product Improvement
Chobani Smooth,0,"['make', 'little', 'less', 'tart']",Product Improvement
Chobani Smooth,0.4404,"['would', 'taste', 'good', 'even', 'berry', 'flavor', 'little', 'runny']",Product Improvement
Chobani Smooth,0,"['add', 'fruit', 'piece']",Product Improvement
Chobani Smooth,0,"['add', 'chuck', 'strawberry']",Product Improvement
Chobani Smooth,0.4404,"['would', 'add', 'granola', 'yogurt', 'make', 'taste', 'well']",Product Improvement
Chobani Smooth,0,"['add', 'strawberry', 'chunk']",Product Improvement
Chobani Smooth,0.3818,"['could', 'stronger', 'strawberry', 'flavor', 'put', 'chunk', 'strawberry']",Product Improvement
